,"Country, Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/1M pop,Population
0,"
North America
","101,151,356",,"1,472,838",,"95,625,282",,"4,053,236","7,898",,,,,
1,"
Asia
","155,158,659","+248,788","1,430,803",+246,"147,781,169","+280,223","5,946,687","11,209",,,,,
2,"
South America
","57,510,386",+179,"1,298,292",,"53,437,599",+346,"2,774,495","10,505",,,,,
3,"
Europe
","195,916,939","+5,322","1,839,227",+91,"184,775,050","+97,240","9,302,662","6,983",,,,,
4,"
Oceania
","8,603,336","+45,913","12,160",+69,"8,114,112","+7,871","477,064",132,,,,,
5,"
Africa
","12,126,756",,"254,789",,"11,317,688",,"554,279",963,,,,,
6,"

",721,,15,,706,,0,0,,,,,
7,World,"530,468,153","+300,202","6,308,124",+406,"501,051,606","+384,444","23,108,423","37,690","68,054",809.3,,,
8,USA,"85,570,755",,"1,030,775 ",,"81,937,406",,"2,602,574","2,446","255,678","3,080","1,024,850,819","3,062,171","334,681,143 "
9,India,"43,147,530",,"524,539 ",,"42,607,177",,"15,814",698,"30,694",373,"848,411,356","603,543","1,405,717,517 "
10,Brazil,"30,880,512",,"666,248 ",,"29,917,271",,"296,993","8,318","143,348","3,093","63,776,166","296,051","215,422,967 "
11,France,"29,434,605",,"148,084 ",,"28,742,055",,"544,466","1,173","449,060","2,259","271,490,188","4,141,902","65,547,224 "
12,Germany,"26,239,641",,"139,115 ",,"25,086,300","+69,500","1,014,226",741,"311,296","1,650","122,332,384","1,451,299","84,291,641 "
13,UK,"22,276,975",,"178,313 ",,"21,885,147",,"213,515",188,"324,918","2,601","522,526,476","7,621,244","68,561,834 "
14,Russia,"18,315,292","+4,619","378,784 ",+84,"17,719,596","+6,064","216,912","2,300","125,402","2,593","273,400,000","1,871,923","146,053,041 "
15,S. Korea,"18,053,287","+16,567","24,103 ",+40,"17,540,936","+20,567","488,248",207,"351,554",469,"15,804,065","307,755","51,352,797 "
16,Italy,"17,333,299",,"166,358 ",,"16,411,953",,"754,988",262,"287,483","2,759","220,238,476","3,652,781","60,293,362 "
17,Turkey,"15,067,077",,"98,944 ",,"14,964,709",,"3,424",975,"175,078","1,150","162,078,198","1,883,338","86,058,989 "
18,Spain,"12,280,345",,"106,105 ",,"11,679,931",,"494,309",339,"262,462","2,268","471,036,328","10,067,225","46,789,095 "
19,Vietnam,"10,714,008",,"43,078 ",,"9,422,085",,"1,248,845",169,"108,224",435,"85,814,917","866,831","98,998,407 "
20,Argentina,"9,178,795",,"128,825 ",,"8,895,999",,"153,971",300,"199,618","2,802","35,716,069","776,744","45,981,758 "
21,Japan,"8,737,532","+31,542","30,458 ",+40,"8,388,328","+34,376","318,746",90,"69,487",242,"52,061,870","414,034","125,742,849 "
22,Netherlands,"8,080,032",,"22,314 ",,"8,020,155","+1,896","37,563",38,"469,586","1,297","21,107,399","1,226,695","17,206,720 "
23,Iran,"7,231,099",,"141,296 ",,"7,041,125",,"48,678",609,"84,053","1,642","52,090,424","605,489","86,030,342 "
24,Australia,"7,156,555","+38,954","8,374 ",+39,"6,776,072",,"372,109",99,"274,612",321,"71,656,929","2,749,627","26,060,597 "
25,Colombia,"6,103,455",,"139,854 ",,"5,934,231",,"29,370",342,"117,576","2,694","34,922,533","672,742","51,910,721 "
26,Indonesia,"6,053,894",+224,"156,565 ",+9,"5,894,380",+277,"2,949","2,771","21,698",561,"98,479,250","352,966","279,005,090 "
27,Poland,"6,006,547",,"116,299 ",,"5,335,354",,"554,894",981,"159,038","3,079","36,313,054","961,475","37,768,066 "
28,Mexico,"5,759,773",,"324,768 ",,"5,054,809",,"380,196","4,798","43,801","2,470","15,950,212","121,294","131,499,993 "
29,Ukraine,"5,011,433",,"108,538 ",,N/A,N/A,N/A,177,"115,909","2,510","19,521,252","451,505","43,235,984 "
30,Malaysia,"4,499,057",,"35,656 ",,"4,438,212",,"25,189",27,"135,710","1,076","59,748,814","1,802,275","33,151,880 "
31,Thailand,"4,434,511","+4,837","29,913 ",+29,"4,358,396","+5,198","46,202","1,496","63,231",427,"17,270,775","246,261","70,131,893 "
32,Austria,"4,243,293",,"18,632 ",,"4,184,997",,"39,664",43,"466,102","2,047","187,227,485","20,565,890","9,103,787 "
33,Belgium,"4,147,568",,"31,727 ",,"4,018,654","+14,251","97,187",93,"354,942","2,715","34,042,001","2,913,255","11,685,211 "
34,Israel,"4,130,879",,"10,839 ",,"4,103,149",,"16,891",150,"442,942","1,162","41,373,364","4,436,346","9,326,000 "
35,Portugal,"4,066,674",,"22,583 ",,N/A,N/A,N/A,61,"401,038","2,227","42,483,884","4,189,577","10,140,375 "
36,South Africa,"3,944,845",,"101,092 ",,"3,793,500",,"50,253",192,"64,962","1,665","25,164,138","414,390","60,725,807 "
37,Czechia,"3,919,344",+245,"40,280 ",,"3,877,513",+618,"1,551",8,"364,704","3,748","55,390,724","5,154,241","10,746,630 "
38,Canada,"3,860,681",,"40,925 ",,"3,525,256",,"294,500",354,"100,619","1,067","61,834,912","1,611,573","38,369,302 "
39,Philippines,"3,689,656",,"60,455 ",,"3,626,878",,"2,323",480,"32,842",538,"30,098,345","267,910","112,345,093 "
40,Chile,"3,665,862",,"57,851 ",,"3,491,476",,"116,535",129,"188,698","2,978","38,283,970","1,970,639","19,427,186 "
41,Switzerland,"3,650,661",,"13,948 ",,"3,590,249","+3,875","46,464",45,"416,050","1,590","21,054,092","2,399,444","8,774,572 "
42,Peru,"3,577,907",,"213,145 ",,N/A,N/A,N/A,184,"105,723","6,298","30,546,879","902,625","33,842,273 "
43,Greece,"3,436,046",,"29,756 ",,"3,359,563",,"46,727",141,"332,738","2,881","82,238,808","7,963,788","10,326,594 "
44,DPRK,"3,270,850","+100,470",69 ,+1,"3,037,690","+139,190","233,091",,"125,836",3,,,"25,992,917 "
45,Denmark,"2,982,572",,"6,343 ",,"2,968,765",,"7,464",11,"511,515","1,088","127,426,765","21,853,866","5,830,857 "
46,Romania,"2,907,591",,"65,669 ",,N/A,N/A,N/A,101,"153,075","3,457","23,065,296","1,214,310","18,994,567 "
47,Sweden,"2,507,948",,"18,944 ",,"2,481,578",+453,"7,426",7,"245,429","1,854","18,592,451","1,819,470","10,218,610 "
48,Iraq,"2,327,665",,"25,218 ",,"2,301,422",,"1,025",8,"55,510",601,"18,573,748","442,942","41,932,644 "
49,Serbia,"2,016,266",,"16,076 ",,"1,993,905",,"6,285",10,"232,538","1,854","9,681,461","1,116,573","8,670,689 "
50,Bangladesh,"1,953,356",,"29,130 ",,"1,901,795",,"22,431","1,259","11,641",174,"14,103,302","84,049","167,798,916 "
51,Hungary,"1,917,777",,"46,507 ",,"1,841,731",,"29,539",18,"199,480","4,837","11,394,556","1,185,220","9,613,872 "
52,Slovakia,"1,789,201",+164,"20,093 ",+2,"1,766,488",+248,"2,620",23,"327,413","3,677","7,143,863","1,307,286","5,464,653 "
53,Taiwan,"1,735,067","+94,855","1,784 ",+126,"311,252","+80,374","1,422,031",,"72,602",75,"17,786,274","744,243","23,898,465 "
54,Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"162,982","1,351","16,670,254","1,603,665","10,395,098 "
55,Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,444","4,230","16,920,079","4,256,990","3,974,658 "
56,Ireland,"1,561,632",,"7,271 ",,"1,534,158",,"20,203",24,"309,705","1,442","12,210,682","2,421,641","5,042,317 "
57,Pakistan,"1,530,143",+79,"30,379 ",,"1,496,123",,"3,641",70,"6,681",133,"28,523,722","124,547","229,019,650 "
58,Norway,"1,432,443",,"3,141 ",,N/A,N/A,N/A,20,"260,369",571,"11,002,430","1,999,868","5,501,579 "
